
ORIGIN,Description,Sum(FLIGHTS)
"FCA","Kalispell, MT: Glacier Park International",1770
"FLG","Flagstaff, AZ: Flagstaff Pulliam",841
"FLL","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",66157
"FLO","Florence, SC: Florence Regional",170
"FNT","Flint, MI: Bishop International",2897
"FSD","Sioux Falls, SD: Joe Foss Field",3952
"FSM","Fort Smith, AR: Fort Smith Regional",1370
"FWA","Fort Wayne, IN: Fort Wayne International",4741
"GCC","Gillette, WY: Gillette Campbell County",591
"GCK","Garden City, KS: Garden City Regional",486
"GEG","Spokane, WA: Spokane International",8052
"GFK","Grand Forks, ND: Grand Forks International",1394
"GGG","Longview, TX: East Texas Regional",518
"GJT","Grand Junction, CO: Grand Junction Regional",2453
"GNV","Gainesville, FL: Gainesville Regional",2968
"GPT","Gulfport/Biloxi, MS: Gulfport-Biloxi International",2866
"GRB","Green Bay, WI: Green Bay Austin Straubel International",3059
"GRI","Grand Island, NE: Central Nebraska Regional",655
"GRK","Killeen, TX: Robert Gray AAF",2002
"GRR","Grand Rapids, MI: Gerald R. Ford International",11224
"GSO","Greensboro/High Point, NC: Piedmont Triad International",8558
"GSP","Greer, SC: Greenville-Spartanburg International",8510
"GST","Gustavus, AK: Gustavus Airport",84
"GTF","Great Falls, MT: Great Falls International",1207
"GTR","Columbus, MS: Golden Triangle Regional",685
"GUC","Gunnison, CO: Gunnison-Crested Butte Regional",191
"GUM","Guam, TT: Guam International",345
"HDN","Hayden, CO: Yampa Valley",778
"HGR","Hagerstown, MD: Hagerstown Regional-Richard A. Henson Field",96
"HHH","Hilton Head, SC: Hilton Head Airport",173
"HIB","Hibbing, MN: Range Regional",417
"HLN","Helena, MT: Helena Regional",1144
"HNL","Honolulu, HI: Daniel K Inouye International",32918
"HOB","Hobbs, NM: Lea County Regional",452
"HOU","Houston, TX: William P Hobby",38482
"HPN","White Plains, NY: Westchester County",6515
"HRL","Harlingen/San Benito, TX: Valley International",2295
"HSV","Huntsville, AL: Huntsville International-Carl T Jones Field",5618
"HTS","Ashland, WV: Tri-State/Milton J. Ferguson Field",645
"HVN","New Haven, CT: Tweed New Haven",689
"HYA","Hyannis, MA: Barnstable Municipal-Boardman/Polando Field",85
"HYS","Hays, KS: Hays Regional",663
"IAD","Washington, DC: Washington Dulles International",44731
"IAG","Niagara Falls, NY: Niagara Falls International",575
"IAH","Houston, TX: George Bush Intercontinental/Houston",115327
"ICT","Wichita, KS: Wichita Dwight D Eisenhower National",6987
"IDA","Idaho Falls, ID: Idaho Falls Regional",1598
"IFP","Bullhead City, AZ: Laughlin/Bullhead International",45
"ILM","Wilmington, NC: Wilmington International",4491
"IMT","Iron Mountain/Kingsfd, MI: Ford",425
"IND","Indianapolis, IN: Indianapolis International",32732
"INL","International Falls, MN: Falls International Einarson Field",439
"ISN","Williston, ND: Sloulin Field International",963
"ISP","Islip, NY: Long Island MacArthur",4417
"ITH","Ithaca/Cortland, NY: Ithaca Tompkins Regional",660
"ITO","Hilo, HI: Hilo International",4126
"JAC","Jackson, WY: Jackson Hole",3066
"JAN","Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",5047
"JAX","Jacksonville, FL: Jacksonville International",20467
"JFK","New York, NY: John F. Kennedy International",86818
"JLN","Joplin, MO: Joplin Regional",563
"JMS","Jamestown, ND: Jamestown Regional",655
"JNU","Juneau, AK: Juneau International",3121
"KOA","Kona, HI: Ellison Onizuka Kona International at Keahole",10305
"KTN","Ketchikan, AK: Ketchikan International",1704
"LAN","Lansing, MI: Capital Region International",2269
"LAR","Laramie, WY: Laramie Regional",417
"LAS","Las Vegas, NV: McCarran International",108110
"LAW","Lawton/Fort Sill, OK: Lawton-Fort Sill Regional",906
"LAX","Los Angeles, CA: Los Angeles International",149082
"LBB","Lubbock, TX: Lubbock Preston Smith International",4247
"LBE","Latrobe, PA: Arnold Palmer Regional",767
"LBF","North Platte, NE: North Platte Regional Airport Lee Bird Field",361
"LBL","Liberal, KS: Liberal Mid-America Regional",354
"LCH","Lake Charles, LA: Lake Charles Regional",1271
"LCK","Columbus, OH: Rickenbacker International",836
"LEX","Lexington, KY: Blue Grass",6741
"LFT","Lafayette, LA: Lafayette Regional Paul Fournet Field",2995
"LGA","New York, NY: LaGuardia",115070
"LGB","Long Beach, CA: Long Beach Airport",11876
"LIH","Lihue, HI: Lihue Airport",9608
"LIT","Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",8930
"LNK","Lincoln, NE: Lincoln Airport",1165
"LRD","Laredo, TX: Laredo International",1655
